label,Main_Label,Sub_Label,Label_Identification,product,uri,upc,ean,isrc,song_name,artist_name,composer_name,album_name,total,file_name,income,admin_Exp,royality
"RHYFIL","Danka Music","RHYFIL","PDL","FAM6","spotify:track:198JS19D86t3HzphIFF7DB","1.96E+11","","QZFZ42186097","Main Ek Saaya","Reeshabh Purohit  Nisha Satpute  Malavika Dikshit","Reeshabh Purohit  Nisha Satpute","Main Ek Saaya","1","Streaming","0.10640970","0.01596146","0.09044825"
"RHYFIL","Danka Music","RHYFIL","PDL","FAM6","spotify:track:54icRguusp8jnhYm8PqipI","","1.94E+12","INR1L2100030","Raag Khamaj - Thumri - Chhab Dikhala Ja","Shubha Joshi","Traditional","Surmayi","1","Streaming","0.10640970","0.01596146","0.09044825"
"RHYFIL","Danka Music","RHYFIL","PDL","FAM6","spotify:track:7e8fqBJhN0n5tkfmZTvZFa","","1.94E+12","INR1L2100031","Raag Bhairavi - Dadra - Rab Tohe Bhoole Nahi Bane","Shubha Joshi","Traditional","Surmayi","5","Streaming","0.53204835","0.07980725","0.45224110"
"RHYFIL","Danka Music","RHYFIL","PDL","P","spotify:track:1tcAT7htofUHvlK8WGpzLq","","1.94E+12","INR1L2100001","Adneyachya Waata","Jasraj Joshi  Sanket Puranik  Mahesh Aphale","Sanket Puranik  Mahesh Aphale","Adneyachya Waata","1","Streaming","0.20408823","0.03061324","0.17347500"
"RHYFIL","Danka Music","RHYFIL","PDL","P","spotify:track:5lJEzTXNAuvcylxn6M1Op4","","1.94E+12","INR1L2100129","Ab Ghan","Shankar Mahadevan  Anoushka Naik","Anoushka Naik","Ab Ghan","1","Streaming","0.20408823","0.03061324","0.17347500"
"RHYFIL","Danka Music","RHYFIL","PDL","P","spotify:track:7e8fqBJhN0n5tkfmZTvZFa","","1.94E+12","INR1L2100031","Raag Bhairavi - Dadra - Rab Tohe Bhoole Nahi Bane","Shubha Joshi","Traditional","Surmayi","2","Streaming","0.40817646","0.06122647","0.34694999"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:4v6l4jZn62LbdziltWuT68","","8.91E+12","INR1L2100149","Down The Streetlights","Seiya  Spark'n the Band","Seiya","Down The Streetlights","3","Streaming","0.16729754","0.02509463","0.14220291"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:13wK4rl4toq8yDXwQ6YGGf","","1.94E+12","INR1L2100115","Jaaneman","Shaarib Toshi  Kkomal Krusshna  Kalim Shaikh","Shaarib Toshi  Kalim Shaikh","Jaaneman","1","Streaming","0.02276006","0.00341401","0.01934605"
"RHYFIL","Danka Music","RHYFIL","PDL","P","spotify:track:5XZ9dwtrH2WnMoQE1gz6XU","","1.94E+12","INR1L2100076","Tabla Solo","Mani Bhardwaj","Mani Bhardwaj  Instrumental","Tabla Solo","1","Streaming","0.03659178","0.00548877","0.03110301"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:13wK4rl4toq8yDXwQ6YGGf","","1.94E+12","INR1L2100115","Jaaneman","Shaarib Toshi  Kkomal Krusshna  Kalim Shaikh","Shaarib Toshi  Kalim Shaikh","Jaaneman","7","Streaming","1.42585245","0.21387787","1.21197458"
