song_id,isrc,song_name,album_name,language,label,Main_Label,Sub_Label,Label_Identification,artist,album_id,total,file_name,income,admin_Exp,royality
"srch_pplmumbai_INR1L2100053","INR1L2100053","Aatmyachi Dindi","Swar Vitthal","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Anandi Vikas Dr Dilip Pandit Siddharth Patil","srch_pplmumbai_000R00SV09B2021","7","Mumbai","0.42050918","0.06307638","0.35743280"
"srch_pplmumbai_INR1L2100186","INR1L2100186","Le Chal","Ehsaas","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Rough Soul Sanxd","srch_pplmumbai_000R000EBFF2022","116","Mumbai","6.96843778","1.04526567","5.92317212"
"srch_pplmumbai_INR1L2100051","INR1L2100051","Raag Chandrakauns - Dadra - Ja Bairi Ja Badra","Sarvaangini","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi","srch_pplmumbai_000R000SFE82021","3","Mumbai","0.18021822","0.02703273","0.15318549"
"srch_pplmumbai_INR1L2100072","INR1L2100072","Shiv Aarti","Shiv Aarti","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Sumangal Arora","srch_pplmumbai_000R00SA71F2021","186","Mumbai","11.17352955","1.67602943","9.49750012"
"srch_pplmumbai_INR1L2100145","INR1L2100145","Metro May Retro","Metro May Retro","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Saurabh Raizada","srch_pplmumbai_000R0MMR1162021","11","Mumbai","0.66080014","0.09912002","0.56168011"
"srch_pplmumbai_INR1L2100016","INR1L2100016","Kabhi Shaakho Sabzaa O","Sartaje Ghazal","urdu","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi Ustad Taj Ahmed Khan Jigar","srch_pplmumbai_000R00SG6522021","31","Mumbai","1.86225493","0.27933824","1.58291669"
"srch_pplmumbai_INI112177839","INI112177839","Punha Ekda","Punha Ekda","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Savaniee Ravindrra Niranjan Pedgaonkar Shaunak Sirrole","srch_pplmumbai_000R00PEF7F2021","4","Mumbai","0.24029096","0.03604364","0.20424731"
"srch_pplmumbai_INR1L2100054","INR1L2100054","Dhyani Aasava","Swar Vitthal","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Anandi Vikas Dr Dilip Pandit Shefali Kulkarni Sakurikar","srch_pplmumbai_000R00SV09B2021","3","Mumbai","0.18021822","0.02703273","0.15318549"
"srch_pplmumbai_INI112177835","INI112177835","Savalbadha","Savalbadha","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Dhanashree Ganatra Pooja Bhadange","srch_pplmumbai_000R000SE712021","1","Mumbai","0.06007274","0.00901091","0.05106183"
"srch_pplmumbai_INR1L2100058","INR1L2100058","Dahulalya Dohat","Tujha Ek Themb","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Anandi Vikas Dr Vivek Muglikar Hrishikesh Ranade","srch_pplmumbai_000R0TETFD02021","1","Mumbai","0.06007274","0.00901091","0.05106183"
"srch_pplmumbai_INR1L2100128","INR1L2100128","Dil Chaahe Bhar Loon Udaan","Udaan","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Kkomal Krusshna","srch_pplmumbai_000R000U8152021","2","Mumbai","0.12014548","0.01802182","0.10212366"
"srch_pplmumbai_INR1L2100014","INR1L2100014","Koi Aarzoo","Sartaje Ghazal","urdu","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi Ustad Taj Ahmed Khan Shakeel","srch_pplmumbai_000R00SG6522021","2","Mumbai","0.12014548","0.01802182","0.10212366"
"srch_pplmumbai_INR1L2100121","INR1L2100121","Premachya Rangat","Piru","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Swapnil Godbole Aarohi Mhatre Nayak","srch_pplmumbai_000R000PC642021","6","Mumbai","0.36043644","0.05406547","0.30637097"
"srch_pplmumbai_INR1L2100124","INR1L2100124","Heer","Heer","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Harshit Chauhan","srch_pplmumbai_000R000HB5E2021","3","Mumbai","0.18021822","0.02703273","0.15318549"
"srch_pplmumbai_INR1L2100132","INR1L2100132","Asato Maa Sadgamaya","Asato Maa Sadgamaya","Unknown","RHYFIL","Danka Music","RHYFIL","PDL","Dhanashree Ganatra","srch_pplmumbai_000R0AMS9C32021","3","Mumbai","0.18021822","0.02703273","0.15318549"
"srch_pplmumbai_INR1L2100126","INR1L2100126","Khalbal Kar Na","Khalbal Kar Na","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Somnath Shinde Kailas Bagal Sanrich","srch_pplmumbai_000R0KKN8292021","1","Mumbai","0.06007274","0.00901091","0.05106183"
"srch_pplmumbai_INR1L2100110","INR1L2100110","Gaata Chal Gan Gan Ganat Bote Gajanan Maharaj Qawwali","Gaata Chal Gan Gan Ganat Bote Gajanan Maharaj Qawwali","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Rafi Habib Madhuri Joshi","srch_pplmumbai_000RGCGGC762021","17","Mumbai","1.02123657","0.15318549","0.86805109"
"srch_pplmumbai_INR1L2100011","INR1L2100011","Kya Kya Fareb","Sartaje Ghazal","urdu","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi Siraj Ahmed Khan Roopa Mehta 'Naghma'","srch_pplmumbai_000R00SG6522021","1","Mumbai","0.06007274","0.00901091","0.05106183"
"srch_pplmumbai_INR1L2100122","INR1L2100122","Laxmi Stotra","Laxmi Stotra","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Dr Shekhar Kulkarni","srch_pplmumbai_000R00LS09B2021","126","Mumbai","7.56916518","1.13537478","6.43379040"
"srch_pplmumbai_INI112177844","INI112177844","Gaatha Khulya Dilachi","Gaatha Khulya Dilachi","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Datta Thite Tyagraj Khadilkar Shripad Thite","srch_pplmumbai_000R0GKD0782021","740","Mumbai","44.45382723","6.66807409","37.78575315"
"srch_pplmumbai_INR1L2100010","INR1L2100010","Unke Baghair","Sartaje Ghazal","urdu","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi Siraj Ahmed Khan Shakeel","srch_pplmumbai_000R00SG6522021","1","Mumbai","0.06007274","0.00901091","0.05106183"
"srch_pplmumbai_INR1L2100154","INR1L2100154","Vaajtay Ga Tun Tun","Vaajtay Ga Tun Tun","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Tejas Satpute Rahul Chandane Sagar Shinde","srch_pplmumbai_000RVGTTFDA2022","5","Mumbai","0.30036370","0.04505456","0.25530914"
"srch_pplmumbai_INR1L2100075","INR1L2100075","Garhana","Garhana","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Rajendra Gajanan Salunke Sunil Godbole Yatin S Trimbakkar","srch_pplmumbai_000R000G5BF2021","2","Mumbai","0.12014548","0.01802182","0.10212366"
"srch_pplmumbai_INR1L2100065","INR1L2100065","Vaari","Vaari","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Madhur Shinde","srch_pplmumbai_000R000V3662021","343","Mumbai","20.60494965","3.09074245","17.51420720"
